UTC_Date,Profundity,Magnitude,Date,Hour,Location,Latitude,Longitude
2022-11-20 14:54:52,108 km,2.9 Ml,2022-11-20,11:54:52,48 km al NE de Calama,-22.177,-68.586
2010-06-27 03:12:25,9 km,4.4 Ml,2010-06-26,23:12:25,154 km al O de TirÃºa,-38.367,-75.254
2012-03-15 17:33:12,10 km,1.8 Ml,2012-03-15,14:33:12,12 km al SO de Mina Collahuasi,-20.892,-68.744
2009-09-10 19:23:07,109 km,2.5 Ml,2009-09-10,15:23:07,46 km al S de Pica,-20.907,-69.321
2005-09-12 12:11:28,152 km,2.6 Mc,2005-09-12,08:11:28,83 km al E de Mina Los Pelambres,-32.015,-69.739
2015-09-17 17:58:30,44 km,4.4 Ml,2015-09-17,14:58:30,12 km al O de Punitaqui,-30.824,-71.382
2020-03-07 10:34:43,33 km,3.5 Ml,2020-03-07,07:34:43,63 km al SO de Castro,-42.868,-74.332
2020-09-02 12:03:25,26 km,3.8 Ml,2020-09-02,08:03:25,66 km al N de Huasco,-27.881,-71.351
2002-07-14 17:59:03,11 km,2.0 Ml,2002-07-14,13:59:03,21 km al N de Farellones,-33.163,-70.301
2009-01-26 14:32:59,104 km,3.2 Ml,2009-01-26,11:32:59,58 km al S de Paihuano,-30.544,-70.404
2021-08-13 20:32:14,183 km,3.2 Ml,2021-08-13,16:32:14,88 km al SE de Socaire,-24.062,-67.195
2011-01-07 02:30:30,36 km,4.4 Ml,2011-01-06,23:30:30,85 km al O de Cobquecura,-35.829,-73.663
2017-03-14 08:41:37,108 km,3.2 Ml,2017-03-14,05:41:37,36 km al NO de Mina Collahuasi,-20.696,-68.973
2022-11-08 19:54:30,97 km,2.8 Ml,2022-11-08,16:54:30,38 km al S de Calama,-22.809,-68.888
2002-08-22 07:00:24,47 km,4.7 Ml,2002-08-22,03:00:24,50 km al SO de Caldera,-27.414,-71.137
2012-10-14 20:26:14,60 km,3.3 Ml,2012-10-14,17:26:14,7 km al N de Ovalle,-30.546,-71.180
2004-10-30 20:00:28,0 km,3.2 Mc,2004-10-30,17:00:28,6 km al O de Termas del Flaco,-34.937,-70.496
2009-06-11 23:50:46,56 km,2.5 Ml,2009-06-11,19:50:46,25 km al SO de Punitaqui,-31.040,-71.356
2021-05-06 22:07:52,32 km,3.6 Ml,2021-05-06,18:07:52,44 km al O de ValparaÃ­so,-33.042,-72.085
2021-06-15 10:21:55,34 km,3.7 Ml,2021-06-15,06:21:55,31 km al NO de Tongoy,-30.017,-71.652
2023-10-01 03:52:38,106 km,2.6 Ml,2023-10-01,00:52:38,51 km al S de Pica,-20.927,-69.174
2011-07-08 21:22:04,169 km,4.0 Ml,2011-07-08,17:22:04,10 km al NE de Ollagüe,-21.183,-68.171
2000-11-03 00:47:39,194 km,3.2 Mc,2000-11-02,21:47:39,34 km al SE de Combarbalá,-31.391,-70.750
2002-02-27 09:37:20,24 km,3.8 Mc,2002-02-27,06:37:20,134 km al O de ValparaÃ­so,-32.812,-73.026
2023-02-23 16:42:16,43 km,2.6 Ml,2023-02-23,13:42:16,59 km al O de Los Vilos,-31.783,-72.114
2003-05-09 18:06:17,73 km,2.9 Mc,2003-05-09,14:06:17,22 km al S de Canela Baja,-31.595,-71.416
2010-03-20 16:47:11,37 km,3.4 Ml,2010-03-20,13:47:11,39 km al O de La Ligua,-32.482,-71.650
2021-06-03 05:37:14,210 km,3.6 Ml,2021-06-03,01:37:14,83 km al SE de Socaire,-24.247,-67.512
2023-11-05 22:10:58,92 km,2.5 Ml,2023-11-05,19:10:58,19 km al E de Curicó,-34.952,-71.032
2022-06-26 03:23:36,104 km,2.7 Ml,2022-06-25,23:23:36,24 km al SO de Mina Collahuasi,-20.997,-68.806
2020-05-05 20:31:00,84 km,2.6 Ml,2020-05-05,16:31:00,21 km al E de Los Ãngeles,-37.490,-72.118
2004-08-30 15:33:04,3 km,3.9 Ml,2004-08-30,11:33:04,28 km al NO de Termas del Flaco,-34.775,-70.647
2023-12-01 01:34:34,127 km,2.9 Ml,2023-11-30,22:34:34,68 km al NE de Calama,-21.985,-68.525
2011-11-04 09:39:51,35 km,3.5 Ml,2011-11-04,06:39:51,70 km al O de Arica,-18.582,-70.981
2023-11-30 22:17:33,255 km,3.3 Ml,2023-11-30,19:17:33,63 km al S de Socaire,-24.142,-67.756
2021-02-27 12:59:22,24 km,2.9 Ml,2021-02-27,09:59:22,37 km al NO de Concepción,-36.551,-73.287
2017-07-05 09:36:21,24 km,3.0 Ml,2017-07-05,05:36:21,41 km al N de ValparaÃ­so,-32.695,-71.748
2016-10-20 17:55:53,68 km,3.6 Ml,2016-10-20,14:55:53,33 km al NE de Quillota,-32.702,-70.969
2023-03-10 14:14:51,30 km,2.5 Ml,2023-03-10,11:14:51,34 km al SO de El Tabo,-33.592,-71.994
2014-11-11 07:44:49,114 km,2.9 Ml,2014-11-11,04:44:49,49 km al SO de Mina Collahuasi,-21.162,-68.960
2015-07-17 12:04:53,34 km,4.5 Ml,2015-07-17,09:04:53,85 km al NO de Cobquecura,-35.530,-73.378
2014-06-24 21:21:26,42 km,3.1 Ml,2014-06-24,17:21:26,84 km al O de Pisagua,-19.876,-70.964
2020-04-27 22:32:15,75 km,2.9 Ml,2020-04-27,18:32:15,24 km al NE de Pozo Almonte,-20.135,-69.591
2016-12-13 15:41:31,48 km,3.3 Ml,2016-12-13,12:41:31,30 km al S de Tongoy,-30.524,-71.484
2020-10-01 16:38:37,120 km,3.5 Ml,2020-10-01,13:38:37,40 km al SE de Mina La Escondida.,-24.599,-68.911
2016-06-14 15:05:42,30 km,2.8 Ml,2016-06-14,11:05:42,63 km al O de Los Vilos,-31.797,-72.159
2020-05-01 07:32:14,112 km,3.4 Ml,2020-05-01,03:32:14,42 km al SO de San Pedro de Atacama,-23.239,-68.412
2019-11-30 08:58:28,228 km,2.7 Ml,2019-11-30,05:58:28,55 km al SE de Socaire,-24.009,-67.598
2011-03-12 06:24:22,130 km,2.4 Ml,2011-03-12,03:24:22,57 km al NE de Calama,-22.035,-68.641
2023-02-03 13:24:41,50 km,3.1 Ml,2023-02-03,10:24:41,18 km al O de Andacollo,-30.282,-71.257
2019-06-23 02:52:28,110 km,2.8 Ml,2019-06-22,22:52:28,49 km al S de Pica,-20.914,-69.185
2001-11-07 01:24:46,7 km,3.8 Mc,2001-11-06,22:24:46,41 km al SO de Los Vilos,-32.200,-71.785
2001-06-25 08:32:23,15 km,4.0 Mc,2001-06-25,04:32:23,60 km al O de Constitución,-35.200,-73.050
2023-04-20 04:28:33,34 km,2.6 Ml,2023-04-20,00:28:33,87 km al NO de La Higuera,-29.124,-71.978
2008-01-20 07:27:24,51 km,3.5 Ml,2008-01-20,04:27:24,29 km al E de Mejillones,-23.002,-70.192
2013-01-07 05:23:12,17 km,3.4 Ml,2013-01-07,02:23:12,13 km al SE de Constitución,-35.396,-72.286
2020-09-01 11:45:26,25 km,4.0 Ml,2020-09-01,07:45:26,57 km al N de Huasco,-27.966,-71.334
2020-01-02 20:17:25,90 km,3.9 Ml,2020-01-02,17:17:25,37 km al SO de Putre,-18.420,-69.816
2013-05-21 22:34:40,154 km,3.3 Ml,2013-05-21,18:34:40,41 km al SO de Socaire,-23.899,-68.116
2006-10-11 11:02:25,27 km,2.1 Ml,2006-10-11,07:02:25,30 km al SO de El Tabo,-33.588,-71.948
2021-03-22 17:09:06,138 km,3.0 Ml,2021-03-22,14:09:06,87 km al E de Mina Los Pelambres,-31.577,-69.709
2018-06-09 15:08:56,127 km,2.8 Ml,2018-06-09,11:08:56,34 km al SO de Ollagüe,-21.496,-68.397
2010-11-28 03:37:17,32 km,4.6 Ml,2010-11-28,00:37:17,70 km al NO de Pichilemu,-33.953,-72.563
2009-04-04 14:48:08,8 km,2.6 Ml,2009-04-04,10:48:08,11 km al NE de Chaitén,-42.837,-72.646
2006-10-12 18:38:00,20 km,3.3 Ml,2006-10-12,14:38:00,14 km al O de Canela Baja,-31.367,-71.604
2012-06-13 08:36:34,85 km,3.8 Ml,2012-06-13,04:36:34,10 km al SO de Curicó,-35.068,-71.276
2021-04-04 04:17:27,20 km,4.4 Ml,2021-04-04,00:17:27,63 km al SO de Huasco,-28.925,-71.595
2021-11-18 00:37:21,125 km,2.6 Ml,2021-11-17,21:37:21,77 km al NE de Calama,-21.838,-68.623
2005-12-23 19:27:36,120 km,2.4 Mc,2005-12-23,16:27:36,50 km al NE de Farellones,-33.030,-69.936
2023-11-11 08:31:16,175 km,3.8 Ml,2023-11-11,05:31:16,96 km al E de Socaire,-23.857,-66.994
2013-08-04 21:26:47,119 km,3.0 Ml,2013-08-04,17:26:47,69 km al SO de Ollagüe,-21.781,-68.549
2008-02-20 07:22:45,34 km,2.2 Ml,2008-02-20,04:22:45,29 km al E de Mejillones,-22.995,-70.192
2013-11-18 00:13:35,247 km,4.2 Ml,2013-11-17,21:13:35,62 km al SE de Socaire,-23.887,-67.371
2018-02-26 02:00:05,40 km,2.7 Ml,2018-02-25,23:00:05,25 km al O de Punitaqui,-30.928,-71.496
2018-02-22 13:45:37,156 km,4.0 Ml,2018-02-22,10:45:37,48 km al SO de Socaire,-23.920,-68.196
2010-12-28 15:31:32,221 km,3.8 Ml,2010-12-28,12:31:32,43 km al SE de Socaire,-23.838,-67.570
2012-04-18 20:31:45,44 km,2.8 Ml,2012-04-18,17:31:45,7 km al NE de La Ligua,-32.400,-71.188
2007-03-30 06:13:14,31 km,2.7 Ml,2007-03-30,02:13:14,37 km al NO de Los Vilos,-31.743,-71.853
2002-03-24 03:44:21,15 km,3.5 Mc,2002-03-23,23:44:21,55 km al O de Punitaqui,-30.739,-71.825
2008-09-03 07:06:02,137 km,3.5 Ml,2008-09-03,03:06:02,37 km al E de Mina Los Pelambres,-31.784,-70.195
2011-03-13 21:06:45,113 km,3.6 Ml,2011-03-13,18:06:45,97 km al NE de Mina Los Pelambres,-31.122,-69.969
2014-07-10 10:43:10,77 km,2.9 Ml,2014-07-10,06:43:10,20 km al SO de Monte Patria,-30.866,-71.035
2008-09-11 09:30:14,6 km,2.2 Ml,2008-09-11,05:30:14,22 km al E de Chaitén,-42.942,-72.440
2013-08-07 22:03:16,90 km,2.4 Ml,2013-08-07,18:03:16,29 km al SE de Los Andes.,-32.988,-70.349
2020-06-07 17:04:32,40 km,2.9 Ml,2020-06-07,13:04:32,27 km al SE de Lebu,-37.826,-73.511
2017-12-03 16:56:19,90 km,2.9 Ml,2017-12-03,13:56:19,33 km al O de Pica,-20.608,-69.625
2002-01-22 11:05:35,54 km,4.3 Mc,2002-01-22,08:05:35,37 km al O de La Serena,-29.811,-71.626
2007-06-02 21:21:06,6 km,1.8 Ml,2007-06-02,17:21:06,25 km al N de Farellones,-33.129,-70.251
2013-03-21 20:18:00,121 km,3.0 Ml,2013-03-21,17:18:00,65 km al SE de Sierra Gorda.,-23.399,-68.984
2001-03-02 22:12:30,42 km,3.8 Mc,2001-03-02,19:12:30,16 km al NO de La Ligua,-32.330,-71.322
2012-06-01 17:03:00,36 km,3.1 Ml,2012-06-01,13:03:00,155 km al NO de Tocopilla,-21.345,-71.468
2003-11-09 19:47:15,15 km,3.5 Mc,2003-11-09,16:47:15,37 km al NO de Canela Baja,-31.163,-71.735
2017-09-08 12:58:16,108 km,2.7 Ml,2017-09-08,09:58:16,41 km al SE de Pica,-20.803,-69.123
2015-02-23 07:54:29,105 km,3.3 Ml,2015-02-23,04:54:29,70 km al SE de Diego de Almagro,-26.967,-69.771
2017-10-06 17:25:45,110 km,3.6 Ml,2017-10-06,14:25:45,51 km al S de Mina Collahuasi,-21.280,-68.712
2001-11-06 06:35:42,104 km,3.4 Mc,2001-11-06,03:35:42,22 km al SE de Curicó,-35.138,-71.086
2017-04-19 04:01:50,200 km,4.3 Ml,2017-04-19,01:01:50,72 km al NE de San Pedro de Atacama,-22.433,-67.732
2017-03-09 06:03:35,208 km,3.7 Ml,2017-03-09,03:03:35,86 km al SE de Socaire,-24.202,-67.370
2010-05-13 07:51:13,22 km,3.1 Ml,2010-05-13,03:51:13,20 km al NO de Lota,-36.979,-73.328
2001-01-25 14:01:20,11 km,3.2 Mc,2001-01-25,11:01:20,4 km al N de San José de Maipo,-33.608,-70.361
2006-12-21 07:58:09,112 km,2.6 Ml,2006-12-21,04:58:09,46 km al SE de Rancagua,-34.411,-70.326
2006-11-06 14:51:36,63 km,5.6 Ml,2006-11-06,11:51:36,28 km al S de Chañaral.,-26.602,-70.652
2019-05-09 00:28:49,226 km,3.8 Ml,2019-05-08,20:28:49,75 km al SE de Socaire,-24.113,-67.428
2011-07-01 23:10:02,29 km,3.5 Ml,2011-07-01,19:10:02,25 km al NO de La Serena,-29.755,-71.452
2016-05-28 17:04:34,242 km,4.4 Ml,2016-05-28,13:04:34,142 km al NE de Socaire,-23.023,-66.649
2018-07-07 16:17:53,32 km,3.5 Ml,2018-07-07,12:17:53,34 km al SO de Los Vilos,-32.149,-71.737
2012-03-30 06:49:04,19 km,3.9 Ml,2012-03-30,03:49:04,46 km al NO de Constitución,-35.097,-72.830
2018-05-20 09:15:21,81 km,2.6 Ml,2018-05-20,05:15:21,38 km al E de Quillagua,-21.729,-69.179
2014-10-24 05:02:53,26 km,3.9 Ml,2014-10-24,02:02:53,39 km al O de Navidad,-34.018,-72.251
2004-01-28 01:00:59,70 km,2.8 Mc,2004-01-27,22:00:59,17 km al NO de Petorca,-32.119,-71.027
2020-09-01 15:29:01,15 km,2.9 Ml,2020-09-01,11:29:01,56 km al N de Huasco,-27.977,-71.356
2009-08-18 03:47:00,6 km,2.2 Ml,2009-08-17,23:47:00,25 km al E de San José de Maipo,-33.643,-70.079
2020-10-16 16:29:57,26 km,2.5 Ml,2020-10-16,13:29:57,13 km al SO de Pichilemu,-34.499,-72.060
2010-03-28 14:52:34,23 km,4.5 Ml,2010-03-28,11:52:34,78 km al O de Cobquecura,-36.103,-73.660
2014-03-18 05:11:34,132 km,2.4 Ml,2014-03-18,02:11:34,47 km al SO de Ollagüe,-21.477,-68.621
2016-08-12 16:59:24,34 km,3.2 Ml,2016-08-12,12:59:24,59 km al O de Los Vilos,-31.703,-72.088
2015-10-03 07:19:59,46 km,4.0 Ml,2015-10-03,04:19:59,11 km al SE de Tongoy,-30.344,-71.453
2006-05-03 18:24:10,144 km,3.1 Ml,2006-05-03,14:24:10,49 km al E de Mina Los Pelambres,-31.700,-70.090
2004-08-30 17:17:38,3 km,3.4 Mc,2004-08-30,13:17:38,12 km al SO de Termas del Flaco,-35.033,-70.536
2018-08-02 05:29:39,228 km,4.5 Mw,2018-08-02,01:29:39,88 km al SE de Socaire,-24.160,-67.297
2009-06-15 14:18:19,39 km,3.2 Ml,2009-06-15,10:18:19,45 km al O de Mejillones,-23.073,-70.886
2013-06-19 20:01:16,102 km,2.5 Ml,2013-06-19,16:01:16,40 km al NO de Mina Collahuasi,-20.557,-68.916
2018-05-05 07:41:18,92 km,2.6 Ml,2018-05-05,04:41:18,30 km al N de Pica,-20.221,-69.279
2023-07-17 07:01:48,91 km,4.2 Ml,2023-07-17,03:01:48,47 km al NO de Camiña,-18.947,-69.659
2008-01-25 18:30:25,95 km,3.0 Ml,2008-01-25,15:30:25,65 km al SO de Mina Collahuasi,-21.296,-69.024
2007-06-02 19:03:37,6 km,1.6 Ml,2007-06-02,15:03:37,21 km al NE de Farellones,-33.179,-70.226
2008-10-04 04:30:43,2 km,3.1 Ml,2008-10-04,00:30:43,19 km al E de Chaitén,-42.848,-72.494
2010-12-20 05:45:04,120 km,3.5 Ml,2010-12-20,02:45:04,34 km al E de Calama,-22.582,-68.626
2022-11-11 11:12:59,49 km,3.1 Ml,2022-11-11,08:12:59,17 km al NO de Punitaqui,-30.728,-71.390
2012-11-27 18:04:47,132 km,3.0 Ml,2012-11-27,15:04:47,70 km al SO de Ollagüe,-21.807,-68.520
2022-05-18 21:05:04,23 km,2.5 Ml,2022-05-18,17:05:04,72 km al SO de Tongoy,-30.686,-72.062
2007-09-11 11:49:44,6 km,1.9 Ml,2007-09-11,07:49:44,66 km al SE de San José de Maipo,-34.175,-70.044
2023-11-27 07:41:29,41 km,2.9 Ml,2023-11-27,04:41:29,23 km al N de Tongoy,-30.054,-71.559
2012-01-24 16:28:24,40 km,2.4 Ml,2012-01-24,13:28:24,18 km al NE de ValparaÃ­so,-32.922,-71.485
2015-10-02 16:07:16,41 km,3.4 Ml,2015-10-02,13:07:16,18 km al NE de Los Vilos,-31.775,-71.405
2008-02-05 01:40:51,150 km,3.2 Ml,2008-02-04,22:40:51,74 km al E de Mina Los Pelambres,-31.599,-69.852
2009-03-29 13:41:43,133 km,2.9 Ml,2009-03-29,09:41:43,28 km al SE de Mina Los Pelambres,-31.940,-70.327
2008-12-10 22:03:02,10 km,3.5 Ml,2008-12-10,19:03:02,24 km al SE de La Ligua,-32.647,-71.128
2016-08-24 06:58:45,27 km,3.5 Ml,2016-08-24,03:58:45,57 km al SO de Tongoy,-30.608,-71.933
2021-03-16 14:17:14,132 km,3.2 Ml,2021-03-16,11:17:14,70 km al SO de Socaire,-24.162,-68.172
2010-04-10 09:13:26,55 km,3.4 Ml,2010-04-10,05:13:26,63 km al NE de Mina Los Pelambres,-31.381,-70.168
2021-03-21 06:49:45,98 km,3.7 Ml,2021-03-21,03:49:45,23 km al O de Mina Collahuasi,-20.819,-68.879
2014-01-14 17:32:46,78 km,2.7 Ml,2014-01-14,14:32:46,61 km al SE de Baquedano,-23.605,-69.324
2017-04-04 16:15:29,26 km,2.7 Ml,2017-04-04,13:15:29,71 km al NO de Quillagua,-21.337,-70.125
2006-04-07 16:01:04,149 km,3.7 Mc,2006-04-07,12:01:04,103 km al E de Mina Los Pelambres,-31.428,-69.604
2010-10-21 19:00:04,33 km,2.9 Ml,2010-10-21,16:00:04,27 km al NE de Vichuquén,-34.772,-71.729
2015-01-06 23:28:29,241 km,3.8 Ml,2015-01-06,20:28:29,30 km al S de Socaire,-23.845,-67.788
2000-04-15 16:53:16,188 km,3.7 Mc,2000-04-15,12:53:16,75 km al NE de Mina Los Pelambres,-31.320,-70.054
2011-12-12 15:17:09,35 km,3.0 Ml,2011-12-12,12:17:09,46 km al O de Arica,-18.559,-70.752
2015-01-20 21:57:32,28 km,2.5 Ml,2015-01-20,18:57:32,42 km al O de MarÃ­a Elena,-22.491,-70.039
2019-12-26 19:55:49,110 km,2.6 Ml,2019-12-26,16:55:49,31 km al E de Sierra Gorda.,-22.966,-69.023
2024-01-07 23:08:49,182 km,3.5 Ml,2024-01-07,20:08:49,101 km al SE de Socaire,-24.028,-67.018
2015-03-23 16:02:10,68 km,3.4 Ml,2015-03-23,13:02:10,32 km al N de Quillagua,-21.367,-69.517
2014-08-25 17:07:14,41 km,2.5 Ml,2014-08-25,13:07:14,28 km al NO de Quillota,-32.762,-71.509
2002-10-22 03:06:22,96 km,2.7 Mc,2002-10-22,00:06:22,23 km al NE de Curicó,-34.860,-71.045
2023-07-02 02:57:48,122 km,2.7 Ml,2023-07-01,22:57:48,26 km al SO de Ollagüe,-21.411,-68.406
2008-10-25 21:33:21,10 km,2.8 Ml,2008-10-25,18:33:21,14 km al NE de Chaitén,-42.810,-72.639
2021-12-26 19:47:57,18 km,3.0 Ml,2021-12-26,16:47:57,147 km al SE de Tierra Amarilla,-28.163,-68.985
2009-10-11 15:01:30,81 km,3.9 Ml,2009-10-11,12:01:30,132 km al E de Alto del Carmen,-28.614,-69.147
2004-10-21 12:25:12,8 km,2.8 Mc,2004-10-21,09:25:12,61 km al SE de San José de Maipo,-34.138,-70.083
2022-09-15 20:11:24,240 km,3.9 Ml,2022-09-15,17:11:24,90 km al S de Socaire,-24.353,-67.598
2006-06-24 02:57:06,20 km,3.5 Ml,2006-06-23,22:57:06,41 km al O de Los Vilos,-31.817,-71.926
2015-12-23 02:21:36,100 km,2.7 Ml,2015-12-22,23:21:36,50 km al O de San Pedro de Atacama,-23.075,-68.661
2017-07-13 08:31:54,109 km,2.5 Ml,2017-07-13,04:31:54,42 km al SO de Mina Collahuasi,-21.102,-68.937
2011-09-17 23:04:21,26 km,2.5 Ml,2011-09-17,20:04:21,43 km al NO de Pichilemu,-34.060,-72.261
2018-08-12 22:38:53,175 km,2.8 Ml,2018-08-12,19:38:53,21 km al E de Ollagüe,-21.244,-68.054
2021-11-02 02:47:47,207 km,3.4 Ml,2021-11-01,23:47:47,105 km al E de Socaire,-23.881,-66.905
2023-12-18 15:51:28,118 km,3.3 Ml,2023-12-18,12:51:28,61 km al O de Ollagüe,-21.381,-68.816
2017-04-28 07:22:29,111 km,3.2 Ml,2017-04-28,04:22:29,17 km al NO de Mina La Escondida.,-24.140,-69.153
2018-11-19 11:32:04,32 km,2.7 Ml,2018-11-19,08:32:04,59 km al SO de Tongoy,-30.613,-71.955
2004-05-29 09:15:41,117 km,2.9 Mc,2004-05-29,05:15:41,28 km al SE de Linares,-35.980,-71.340
2015-11-11 19:29:41,24 km,3.5 Ml,2015-11-11,16:29:41,56 km al O de Tongoy,-30.334,-72.072
2017-09-26 19:37:51,18 km,3.9 Ml,2017-09-26,16:37:51,124 km al O de Lebu,-37.271,-74.993
2017-01-26 12:53:56,13 km,3.6 Ml,2017-01-26,09:53:56,80 km al O de Melinka,-43.564,-74.635
2013-08-16 06:08:27,15 km,3.4 Ml,2013-08-16,02:08:27,25 km al NO de Huasco,-28.284,-71.368
2003-03-13 09:35:49,45 km,3.3 Ml,2003-03-13,05:35:49,11 km al O de La Serena,-29.923,-71.361
2019-01-23 08:30:51,37 km,2.9 Ml,2019-01-23,05:30:51,31 km al S de Lebu,-37.888,-73.617
2020-12-01 08:27:32,14 km,2.6 Ml,2020-12-01,05:27:32,31 km al NE de Farellones,-33.190,-70.040
2018-05-31 18:35:47,8 km,3.0 Ml,2018-05-31,14:35:47,12 km al N de Mina Los Pelambres,-31.721,-70.618
2016-03-16 00:06:21,160 km,2.8 Ml,2016-03-15,21:06:21,82 km al E de Mina Los Pelambres,-32.131,-69.801
2016-01-02 17:13:15,57 km,2.5 Ml,2016-01-02,14:13:15,15 km al SE de Cuya,-19.251,-70.079
2010-03-13 03:12:14,34 km,5.1 Ml,2010-03-13,00:12:14,46 km al NO de Navidad,-33.744,-72.265
2001-01-07 11:47:28,4 km,3.7 Mc,2001-01-07,08:47:28,52 km al O de El Tabo,-33.471,-72.233
